Contest_ID	Pref_Voter_ID	Serial Number	Tally_Type	Precinct_ID	Vote_Rank	CandidateID	Over-Vote	Under_Vote	Vote Rank2	CandID2	OverVote	UnderVote	VoteRank3	CandID3	OverVote	UnderVote
85	77640	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77641	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77642	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77643	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77644	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77645	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77646	142	1	142	1	437	0	0	2	436	0	0	3	434	0	0
85	77647	142	1	142	1	435	0	0	2	436	0	0	3	433	0	0
85	77648	142	1	142	1	435	0	0	2	435	0	0	3	435	0	0
85	77649	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77650	142	1	142	1	435	0	0	2	435	0	0	3	435	0	0
85	77651	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77652	142	1	142	1	437	0	0	2	435	0	0	3	0	0	1
85	77653	142	1	142	1	435	0	0	2	434	0	0	3	436	0	0
85	77654	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77655	142	1	142	1	435	0	0	2	436	0	0	3	433	0	0
85	77656	142	1	142	1	433	0	0	2	437	0	0	3	0	0	1
85	77657	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77658	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77659	142	1	142	1	435	0	0	2	436	0	0	3	433	0	0
85	77660	142	1	142	1	437	0	0	2	436	0	0	3	433	0	0
85	77661	142	1	142	1	433	0	0	2	437	0	0	3	435	0	0
85	77662	142	1	142	1	435	0	0	2	435	0	0	3	435	0	0
85	77663	142	1	142	1	436	0	0	2	433	0	0	3	435	0	0
85	77664	142	1	142	1	437	0	0	2	436	0	0	3	435	0	0
85	77665	142	1	142	1	435	0	0	2	435	0	0	3	435	0	0
85	77666	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77667	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77668	142	1	142	1	437	0	0	2	436	0	0	3	434	0	0
85	77669	142	1	142	1	433	0	0	2	435	0	0	3	436	0	0
85	77670	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77671	142	1	142	1	437	0	0	2	433	0	0	3	436	0	0
85	77672	142	1	142	1	435	0	0	2	433	0	0	3	437	0	0
85	77673	142	1	142	1	435	0	0	2	435	0	0	3	435	0	0
85	77674	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
